Notebooks;preco;parcelas;valor_parcelas
MSI GL66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3060 SSD 512Gb NVMe RAM 16Gb;26.800,00;10;2.680,00
MSI GP66 (Laptop Gamer) i7-11870H tela 15` FHD Nvidia RTX 3080 SSD 4Tb NVMe RAM 64Gb;49.200,00;10;4.920,00
"Notebook Asus M515DA Ryzen 5 3500U 8GB RAM SSD 256GB Tela 15,6&quot; Windows 10 Home Cinza - M515DA-EJ502T";5.020,90;10;502,09
"Notebook Samsung S51 256GB SSD 8GB, Processador Intel Core I7, Tela 13.3&quot; Full HD";6.999,00;10;699,90
"Notebook GT Tóquio Intel® Core™ i5, 8GB, 240GB SSD, Tela de 15,6&quot; HD, Windows 10 | Goldentec";5.999,99;10;600,00
Asus ZenBook Duo UX482 (Ultrabook) i7-1165G7 tela 14` FHD MX450 SSD 1Tb NVMe RAM 32Gb;26.700,00;10;2.670,00
Smart Hub Lenovo 500Z 11.6 360 I5-7500T 8Gb 128Gb W10 Skype;4.699,00;10;469,90
Notebook Acer Aspire 5 256Gb SSD Core I5-10210U 4Gb Ram;4.799,90;10;479,99
"Notebook Acer Aspire 5 A515-54G-53XP - Intel Core i5-10210U, 15,6&quot;, 8GB, 256GB SSD, GeForce MX 250 2GB";5.589,00;10;558,90
Notebook Galaxy Samsung Book S 8GB, 13.3``, Intel Core i5, Windows 10 Home, cinza;6.418,93;10;641,89
HP Envy 17 (Ultrabook) Intel 11ª geração i7-1165G7 tela 17` FHD Nvidia MX450 SSD 512Gb NVMe RAM  12Gb;19.900,00;10;1.990,00
Asus ZenBook Pro Duo UX482EG (Ultrabook) i7-1165G7 tela 14` FHD MX450 SSD 1Tb NVMe RAM 16Gb;22.200,00;10;2.220,00
Microsoft Surface Pro 7 (Tablet apenas) i7-1065G7 tela 12` SSD 256Gb RAM 16Gb;20.200,00;10;2.020,00
Microsoft Surface Pro X (Tablet apenas) Microsoft SQ1 tela 13` SSD 256Gb RAM 16Gb;20.200,00;10;2.020,00
