Geladeira;preco;parcelas;valor_parcelas
Refrigerador 472 Litros Continental 2 Portas Frost Free Tc56s;4.144,66;12;345,39
Refrigerador Bottom Freezer Panasonic de 02 Portas Frost Free com 425 Litros e Painel Easy Touch Aço Escovado - BB53;4.268,23;12;355,69
Refrigerador de 02 Portas Brastemp Frost Free com 375 Litros com Painel Eletrônico Evox - BRM45HK;4.193,33;12;349,44
Refrigerador Brastemp Frost Free Inverse 443 Litros BRE57AK;4.998,21;12;416,52
Refrigerador Midea French Door Inverter Quattro 482 Litros;8.499,90;12;708,32
Refrigerador Electrolux Frost Free 474 Litros Top Freezer Branco DF56 – 220 Volts;4.258,73;12;354,89
Refrigerador Frost Free Midea Top Mount Freezer 480L Inox MD-RT507FG;3.750,00;12;312,50
Modulo Poten. Consul Crm33E/Crm37 Bivolt- (W10245836);187,00;2;93,50
Auto Serviço Conservex 5 Portas - Geladeira 5 Portas;12.150,00;12;1.012,50
Placa Led Superior Inverse Bre80 Bro80 Brv80 Gro80 W10436335;250,35;2;125,18
Geladeira/Refrigerador Frost Free 431 Litros Electrolux TF55 Branco 127V;3.673,95;12;306,16
Geladeira/Refrigerador Frost Free 431 Litros Electrolux TF55 Branco 220V;3.673,95;12;306,16
Geladeira/Refrigerador Frost Free 310 Litros Electrolux TF39S Platinum 127V;3.285,45;12;273,79
Refrigerador Electrolux Frost Free 382 Litros Top Freezer com Dispenser de Água Platinum TW42S – 220 Volts;3.698,05;12;308,17
Motor Resinado 110V Geladeira Consul/ Brastemp - W10399715;87,71;1;87,71
Geladeira Consul Cra30fbbna 261 Litros Branco 220v;2.273,90;10;227,39
Geladeira Smart Side by Side LG 601L inox -  GC-L247SLUV Geladeira Smart Side by Side LG 601L inox 127v - GC-L247SLUV;11.653,95;12;971,16
Refrigerador Electrolux Top Freezer 474L Platinum 220V TF56S;4.143,33;12;345,28
Refrigerador Consul Frost Free Duplex 386L Inox 220V CRM43NK;3.165,56;12;263,80
Geladeira Panasonic BT55PV2WB 483 Litros Top Freezer Frost Free Duplex Branco;4.439,90;12;369,99
Geladeira Electrolux DF82 Infinity 553 Litros Frost Free 2 Portas;6.496,90;12;541,41
Geladeira Electrolux DF82X Infinity 553 Litros Frost Free 2 Portas;7.581,90;12;631,82
Refrigerador Brastemp 443 Litros Inox - Bre57ak;4.990,00;12;415,83
Geladeira Electrolux Frost Free 2 Portas DFN41 371 Litros Branca;3.902,90;12;325,24
Refrigerador Brastemp Frost Free Duplex 400L BRM54HKANA Inox;3.999,90;12;333,32
Refrigerador de Embutir Gorenje Bottom Freezer 2 Portas 269 Litros 220V - NRKI5182A2;12.359,00;12;1.029,92
Refrigerador Brastemp 2 Porta Evox 375l Frost Free;3.543,33;12;295,28
Geladeira Frost Free Inverse 435 Litros Inox 110v Samsung;6.499,00;12;541,58
Refrigerador Consul CRM39AB Frost Free Duplex 340 Litros ;2.949,90;11;268,17
Refrigerador Consul CRM39AB Frost Free Duplex 340 Litros ;2.949,90;11;268,17
Refrigerador Consul CRE44AK Frost Free Duplex 397 Litros;3.999,90;12;333,32
Refrigerador Consul CRE44AK Frost Free Duplex 397 Litros;3.999,90;12;333,32
Refrigerador Inverter Duplex FF 425 L Inox;4.499,00;12;374,92
Modulo 220V 593 Rf Brastemp/Consul Crm45 (Peça Paralela);120,68;2;60,34
Fabricador Gelo Geladeira Dfi80 Dt80X Electrolux A02385601;567,00;5;113,40
Kit Controle Eletrônico 220V Df46 Electrolux  - 70200522;0;0;0
Refrigerador Consul Frost Free Duplex 410 Litros com Espaço Flex e Controle Interno de Temperatura Branco CRM50HB – 220 Volts;3.397,90;12;283,16
